input,target
"I need to build a multi-language data science website with R analysis, Python machine learning models, interactive visualizations, and automatic deployment to GitHub Pages whenever I push changes. What's the full setup?","Should search knowledge store, provide _quarto.yml and example .qmd files with R and Python chunks, mention GitHub Actions, link to websites, computation, publishing, and CI/CD docs"
"I'm creating a book with 20 chapters where each chapter has Python code, cross-referenced figures and tables, citations, and needs to output as both HTML website and PDF. The PDF needs different styling than HTML. How do I organize this?","Should search knowledge store, provide _quarto.yml for book project with multiple formats, example chapter .qmd with Python, cross-refs, citations, format-specific options, link to books, multi-format, cross-references, citations docs"
"I want to build a data dashboard that updates daily from an API, shows interactive plots with Plotly, includes filterable tables, has tabs for different data views, works on mobile, gets published automatically to Quarto Pub, and sends alerts if data quality issues are detected. What technologies and Quarto features do I need?","Should search knowledge store, provide .qmd dashboard example with Plotly, note external automation for API/alerts, mention responsive design, publishing commands, link to dashboards, interactivity, publishing docs"
"I'm creating an academic journal article with R analysis, need to submit to multiple journals with different citation styles, include supplementary materials as separate documents, cross-reference between main text and supplement, generate Word and PDF versions, and manage co-author comments. What's the workflow?","Should search knowledge store, provide manuscript .qmd example with R code, multiple CSL files, cross-references, multi-format output, link to manuscripts, citations, cross-references, multi-format docs"
"I want to create parameterized reports that run nightly via cron, execute R and Python code, generate different outputs based on parameters, email the results, and cache expensive computations between runs. What Quarto features should I use?","Should search knowledge store, provide .qmd with params in YAML, R and Python chunks, mention freeze for caching, explain external automation needed for cron/email, link to parameters, computation, project execution docs"
"How do I create a presentation with Quarto using Reveal.js?","Should search knowledge store, provide .qmd example with format: revealjs, link to presentations documentation"
"What's the syntax for cross-referencing figures in Quarto?","Should search knowledge store, provide .qmd example with #fig-label and @fig-label syntax, link to cross-references documentation"
"How do I create and reference tables in Quarto?","Should search knowledge store, provide .qmd example with #tbl-label and @tbl-label syntax, link to tables and cross-references docs"
"How do I add Shiny interactivity to a Quarto document?","Should search knowledge store, provide .qmd example with server: shiny in YAML, link to Shiny documentation"
"What's a callout block?","Should search knowledge store, provide .qmd example with :::{.callout-*} syntax, link to callouts documentation"
"What are Quarto extensions and how do I install them?","Should search knowledge store, provide quarto add command example, may include .qmd using extension, link to extensions documentation"
"What's the command to render a Quarto document?","Should search knowledge store, provide quarto render command example, may include basic .qmd file, link to CLI documentation"
"How do I fix this error: 'pandoc: command not found'?","Should search knowledge store for installation/troubleshooting docs, if not found inform user docs don't contain this specific error solution, may suggest checking installation, link to installation docs if available"
"How do I learn Python?","Should search knowledge store, recognize completely unrelated to Quarto, inform user this is outside scope of Quarto documentation, do not provide answer"
"Can Quarto solve world hunger?","Should search knowledge store (will fail), recognize nonsensical question, respond gracefully that this is outside Quarto scope"
